nc_metric,bin,ood_set,clip_fid,method,avg_rank
var_collapse,mid,lsun cropped,0.452894850417105,fDBD,9.166666666666666
var_collapse,mid,lsun cropped,0.452894850417105,CTMmeanOC,11.666666666666666
var_collapse,mid,lsun cropped,0.452894850417105,CTMmean,11.666666666666666
var_collapse,mid,lsun cropped,0.452894850417105,CTM,11.666666666666666
var_collapse,mid,lsun cropped,0.452894850417105,Confidence,12.5
var_collapse,mid,lsun cropped,0.452894850417105,REN,12.5
var_collapse,mid,lsun cropped,0.452894850417105,PE,13.666666666666666
var_collapse,mid,lsun cropped,0.452894850417105,GEN,13.666666666666666
var_collapse,mid,lsun cropped,0.452894850417105,PCE,14.0
var_collapse,mid,lsun cropped,0.452894850417105,pNML,14.5
var_collapse,mid,lsun cropped,0.452894850417105,MSR,15.333333333333334
var_collapse,mid,lsun cropped,0.452894850417105,PCA RecError global,15.666666666666666
var_collapse,mid,lsun cropped,0.452894850417105,ViM,18.166666666666668
var_collapse,mid,lsun cropped,0.452894850417105,Maha,21.5
var_collapse,mid,lsun cropped,0.452894850417105,Residual,21.5
var_collapse,mid,places365,0.5321273594354652,fDBD,1.5
var_collapse,mid,places365,0.5321273594354652,REN,4.333333333333333
var_collapse,mid,places365,0.5321273594354652,GEN,4.666666666666667
var_collapse,mid,places365,0.5321273594354652,PCE,6.166666666666667
var_collapse,mid,places365,0.5321273594354652,NNGuide,7.0
var_collapse,mid,places365,0.5321273594354652,MSR,7.166666666666667
var_collapse,mid,places365,0.5321273594354652,PE,8.666666666666666
var_collapse,mid,places365,0.5321273594354652,NeCo,10.333333333333334
var_collapse,mid,places365,0.5321273594354652,CTM,11.166666666666666
var_collapse,mid,places365,0.5321273594354652,Confidence,11.333333333333334
var_collapse,mid,places365,0.5321273594354652,MLS,11.5
var_collapse,mid,places365,0.5321273594354652,CTMmean,11.5
var_collapse,mid,places365,0.5321273594354652,CTMmeanOC,11.666666666666666
var_collapse,mid,places365,0.5321273594354652,Energy,12.0
var_collapse,mid,places365,0.5321273594354652,pNML,12.166666666666666
var_collapse,mid,places365,0.5321273594354652,GradNorm,12.333333333333334
var_collapse,mid,places365,0.5321273594354652,GE,14.166666666666666
var_collapse,mid,places365,0.5321273594354652,KPCA RecError global,14.833333333333334
var_collapse,mid,places365,0.5321273594354652,ViM,18.166666666666668
var_collapse,mid,places365,0.5321273594354652,PCA RecError global,19.666666666666668
var_collapse,mid,places365,0.5321273594354652,Maha,21.333333333333332
var_collapse,mid,places365,0.5321273594354652,Residual,21.333333333333332
var_collapse,mid,textures,0.5468303877588535,ViM,2.1666666666666665
var_collapse,mid,textures,0.5468303877588535,fDBD,2.3333333333333335
var_collapse,mid,textures,0.5468303877588535,CTM,2.6666666666666665
var_collapse,mid,textures,0.5468303877588535,KPCA RecError global,3.5
var_collapse,mid,textures,0.5468303877588535,CTMmean,4.833333333333333
var_collapse,mid,textures,0.5468303877588535,CTMmeanOC,5.5
var_collapse,mid,textures,0.5468303877588535,REN,9.833333333333334
var_collapse,mid,textures,0.5468303877588535,PE,11.0
var_collapse,mid,textures,0.5468303877588535,NeCo,11.5
var_collapse,mid,textures,0.5468303877588535,GEN,12.166666666666666
var_collapse,mid,textures,0.5468303877588535,PCE,12.333333333333334
var_collapse,mid,textures,0.5468303877588535,pNML,12.833333333333334
var_collapse,mid,textures,0.5468303877588535,NNGuide,12.833333333333334
var_collapse,mid,textures,0.5468303877588535,MLS,13.0
var_collapse,mid,textures,0.5468303877588535,MSR,14.333333333333334
var_collapse,mid,textures,0.5468303877588535,PCA RecError global,14.5
var_collapse,mid,textures,0.5468303877588535,GE,15.333333333333334
var_collapse,mid,textures,0.5468303877588535,Confidence,15.666666666666666
var_collapse,mid,textures,0.5468303877588535,Energy,16.833333333333332
var_collapse,mid,textures,0.5468303877588535,Residual,19.166666666666668
var_collapse,mid,textures,0.5468303877588535,Maha,20.0
var_collapse,mid,textures,0.5468303877588535,GradNorm,20.666666666666668
var_collapse,mid,svhn,0.6846676149471842,fDBD,3.3333333333333335
var_collapse,mid,svhn,0.6846676149471842,CTM,4.5
var_collapse,mid,svhn,0.6846676149471842,REN,5.0
var_collapse,mid,svhn,0.6846676149471842,ViM,5.666666666666667
var_collapse,mid,svhn,0.6846676149471842,KPCA RecError global,5.833333333333333
var_collapse,mid,svhn,0.6846676149471842,GEN,6.833333333333333
var_collapse,mid,svhn,0.6846676149471842,CTMmean,8.333333333333334
var_collapse,mid,svhn,0.6846676149471842,PCE,9.0
var_collapse,mid,svhn,0.6846676149471842,CTMmeanOC,9.166666666666666
var_collapse,mid,svhn,0.6846676149471842,MSR,9.5
var_collapse,mid,svhn,0.6846676149471842,PE,9.666666666666666
var_collapse,mid,svhn,0.6846676149471842,pNML,13.0
var_collapse,mid,svhn,0.6846676149471842,NNGuide,14.0
var_collapse,mid,svhn,0.6846676149471842,NeCo,14.666666666666666
var_collapse,mid,svhn,0.6846676149471842,Maha,15.5
var_collapse,mid,svhn,0.6846676149471842,MLS,15.666666666666666
var_collapse,mid,svhn,0.6846676149471842,Confidence,15.833333333333334
var_collapse,mid,svhn,0.6846676149471842,PCA RecError global,16.166666666666668
var_collapse,mid,svhn,0.6846676149471842,Energy,16.333333333333332
var_collapse,mid,svhn,0.6846676149471842,Residual,17.166666666666668
var_collapse,mid,svhn,0.6846676149471842,GE,17.5
var_collapse,mid,svhn,0.6846676149471842,GradNorm,20.333333333333332
var_collapse,high,cifar100,0.19080717366812822,NeCo,1.6
var_collapse,high,cifar100,0.19080717366812822,NNGuide,2.2
var_collapse,high,cifar100,0.19080717366812822,MLS,2.8
var_collapse,high,cifar100,0.19080717366812822,Energy,3.4
var_collapse,high,cifar100,0.19080717366812822,GE,5.0
var_collapse,high,cifar100,0.19080717366812822,PE,6.0
var_collapse,high,cifar100,0.19080717366812822,Confidence,7.4
var_collapse,high,cifar100,0.19080717366812822,PCE,7.6
var_collapse,high,cifar100,0.19080717366812822,MSR,9.4
var_collapse,high,cifar100,0.19080717366812822,GradNorm,9.6
var_collapse,high,cifar100,0.19080717366812822,GEN,12.2
var_collapse,high,cifar100,0.19080717366812822,CTM,12.2
var_collapse,high,cifar100,0.19080717366812822,REN,12.2
var_collapse,high,cifar100,0.19080717366812822,ViM,13.8
var_collapse,high,cifar100,0.19080717366812822,CTMmeanOC,15.2
var_collapse,high,cifar100,0.19080717366812822,CTMmean,16.2
var_collapse,high,cifar100,0.19080717366812822,pNML,17.2
var_collapse,high,cifar100,0.19080717366812822,KPCA RecError global,17.4
var_collapse,high,cifar100,0.19080717366812822,PCA RecError global,18.8
var_collapse,high,cifar100,0.19080717366812822,fDBD,19.8
var_collapse,high,cifar100,0.19080717366812822,Residual,21.0
var_collapse,high,cifar100,0.19080717366812822,Maha,22.0
var_collapse,high,cifar10,0.2171741844853313,GradNorm,1.0
var_collapse,high,cifar10,0.2171741844853313,Energy,2.0
var_collapse,high,cifar10,0.2171741844853313,REN,4.0
var_collapse,high,cifar10,0.2171741844853313,GEN,5.0
var_collapse,high,cifar10,0.2171741844853313,Confidence,5.5
