nc_metric,bin,method,avg_rank
max_equiangular_uc,low,PE,12.142857142857142
max_equiangular_uc,low,Energy,13.142857142857142
max_equiangular_uc,low,MLS,13.714285714285714
max_equiangular_uc,low,NeCo,14.142857142857142
max_equiangular_uc,low,ViM,14.714285714285714
max_equiangular_uc,low,pNML,15.142857142857142
max_equiangular_uc,low,GE,16.0
max_equiangular_uc,low,GradNorm,16.714285714285715
max_equiangular_uc,low,PCA RecError global,19.0
max_equiangular_uc,low,Residual,20.857142857142858
max_equiangular_uc,low,Maha,21.285714285714285
max_equiangular_uc,mid,NNGuide,3.6666666666666665
max_equiangular_uc,mid,Energy,4.833333333333333
max_equiangular_uc,mid,CTM,6.0
max_equiangular_uc,mid,NeCo,7.333333333333333
max_equiangular_uc,mid,PE,7.666666666666667
max_equiangular_uc,mid,MLS,8.666666666666666
max_equiangular_uc,mid,KPCA RecError global,9.0
max_equiangular_uc,mid,fDBD,9.666666666666666
max_equiangular_uc,mid,PCE,10.0
max_equiangular_uc,mid,CTMmean,10.166666666666666
max_equiangular_uc,mid,CTMmeanOC,10.166666666666666
max_equiangular_uc,mid,GE,10.333333333333334
max_equiangular_uc,mid,GradNorm,11.333333333333334
max_equiangular_uc,mid,GEN,11.666666666666666
max_equiangular_uc,mid,MSR,12.0
max_equiangular_uc,mid,REN,12.166666666666666
max_equiangular_uc,mid,Confidence,13.5
max_equiangular_uc,mid,pNML,16.333333333333332
max_equiangular_uc,mid,ViM,17.0
max_equiangular_uc,mid,Residual,20.0
max_equiangular_uc,mid,PCA RecError global,20.166666666666668
max_equiangular_uc,mid,Maha,21.333333333333332
max_equiangular_uc,high,Energy,1.7142857142857142
max_equiangular_uc,high,NeCo,2.4285714285714284
max_equiangular_uc,high,MLS,3.7142857142857144
max_equiangular_uc,high,NNGuide,5.714285714285714
max_equiangular_uc,high,GE,6.285714285714286
max_equiangular_uc,high,fDBD,8.571428571428571
max_equiangular_uc,high,KPCA RecError global,9.285714285714286
max_equiangular_uc,high,GradNorm,9.571428571428571
max_equiangular_uc,high,CTMmeanOC,9.714285714285714
max_equiangular_uc,high,CTMmean,9.857142857142858
max_equiangular_uc,high,CTM,11.428571428571429
max_equiangular_uc,high,ViM,13.285714285714286
max_equiangular_uc,high,Confidence,13.428571428571429
max_equiangular_uc,high,PCA RecError global,14.428571428571429
max_equiangular_uc,high,REN,14.428571428571429
max_equiangular_uc,high,PE,14.571428571428571
max_equiangular_uc,high,GEN,14.857142857142858
max_equiangular_uc,high,PCE,15.0
max_equiangular_uc,high,pNML,15.428571428571429
max_equiangular_uc,high,MSR,16.714285714285715
max_equiangular_uc,high,Maha,21.142857142857142
max_equiangular_uc,high,Residual,21.428571428571427
max_equiangular_wc,low,CTM,1.0
max_equiangular_wc,low,CTMmean,3.5714285714285716
max_equiangular_wc,low,fDBD,3.5714285714285716
max_equiangular_wc,low,CTMmeanOC,3.7142857142857144
max_equiangular_wc,low,NNGuide,4.857142857142857
max_equiangular_wc,low,REN,6.285714285714286
max_equiangular_wc,low,KPCA RecError global,7.857142857142857
max_equiangular_wc,low,GEN,8.571428571428571
max_equiangular_wc,low,PE,10.571428571428571
max_equiangular_wc,low,PCE,10.714285714285714
max_equiangular_wc,low,Confidence,10.857142857142858
max_equiangular_wc,low,MSR,11.285714285714286
max_equiangular_wc,low,MLS,12.714285714285714
max_equiangular_wc,low,NeCo,12.857142857142858
max_equiangular_wc,low,Energy,14.571428571428571
max_equiangular_wc,low,GE,14.857142857142858
max_equiangular_wc,low,ViM,16.857142857142858
max_equiangular_wc,low,pNML,17.571428571428573
max_equiangular_wc,low,GradNorm,19.0
max_equiangular_wc,low,PCA RecError global,19.428571428571427
max_equiangular_wc,low,Maha,21.0
max_equiangular_wc,low,Residual,21.285714285714285
max_equiangular_wc,mid,Energy,3.1666666666666665
max_equiangular_wc,mid,NNGuide,5.833333333333333
max_equiangular_wc,mid,CTM,6.0
max_equiangular_wc,mid,fDBD,6.5
max_equiangular_wc,mid,KPCA RecError global,8.0
max_equiangular_wc,mid,NeCo,8.833333333333334
max_equiangular_wc,mid,CTMmean,9.166666666666666
max_equiangular_wc,mid,CTMmeanOC,9.166666666666666
max_equiangular_wc,mid,GradNorm,9.166666666666666
max_equiangular_wc,mid,MLS,9.833333333333334
max_equiangular_wc,mid,REN,10.666666666666666
max_equiangular_wc,mid,ViM,11.666666666666666
max_equiangular_wc,mid,GE,12.0
max_equiangular_wc,mid,pNML,12.333333333333334
max_equiangular_wc,mid,GEN,12.666666666666666
max_equiangular_wc,mid,PE,13.333333333333334
max_equiangular_wc,mid,PCE,13.5
max_equiangular_wc,mid,Confidence,15.333333333333334
max_equiangular_wc,mid,MSR,15.333333333333334
max_equiangular_wc,mid,PCA RecError global,18.833333333333332
max_equiangular_wc,mid,Residual,20.166666666666668
max_equiangular_wc,mid,Maha,21.5
max_equiangular_wc,high,Energy,1.7142857142857142
max_equiangular_wc,high,NeCo,2.4285714285714284
max_equiangular_wc,high,MLS,3.7142857142857144
max_equiangular_wc,high,NNGuide,5.142857142857143
max_equiangular_wc,high,GE,6.0
max_equiangular_wc,high,GradNorm,9.142857142857142
max_equiangular_wc,high,KPCA RecError global,10.142857142857142
max_equiangular_wc,high,CTMmeanOC,10.571428571428571
max_equiangular_wc,high,CTMmean,10.714285714285714
max_equiangular_wc,high,PE,11.285714285714286
max_equiangular_wc,high,Confidence,11.571428571428571
max_equiangular_wc,high,CTM,11.714285714285714
max_equiangular_wc,high,fDBD,12.285714285714286
max_equiangular_wc,high,PCE,12.571428571428571
max_equiangular_wc,high,MSR,14.0
max_equiangular_wc,high,GEN,14.285714285714286
max_equiangular_wc,high,PCA RecError global,15.142857142857142
max_equiangular_wc,high,ViM,15.714285714285714
max_equiangular_wc,high,REN,16.285714285714285
max_equiangular_wc,high,pNML,16.428571428571427
max_equiangular_wc,high,Residual,20.857142857142858
max_equiangular_wc,high,Maha,21.285714285714285
self_duality,low,CTM,3.7142857142857144
self_duality,low,NNGuide,3.857142857142857
self_duality,low,CTMmeanOC,5.714285714285714
self_duality,low,CTMmean,6.142857142857143
self_duality,low,fDBD,7.428571428571429
self_duality,low,GEN,8.571428571428571
self_duality,low,Confidence,8.714285714285714
self_duality,low,PCE,9.571428571428571
self_duality,low,MSR,9.714285714285714
self_duality,low,REN,9.857142857142858
self_duality,low,PE,10.142857142857142
self_duality,low,MLS,10.428571428571429
self_duality,low,KPCA RecError global,10.714285714285714
self_duality,low,NeCo,10.857142857142858
self_duality,low,Energy,12.0
self_duality,low,GE,12.142857142857142
self_duality,low,GradNorm,15.428571428571429
self_duality,low,ViM,17.0
self_duality,low,PCA RecError global,18.428571428571427
self_duality,low,pNML,19.714285714285715
self_duality,low,Maha,21.285714285714285
self_duality,low,Residual,21.571428571428573
self_duality,mid,NNGuide,3.5
self_duality,mid,CTM,6.0
self_duality,mid,Energy,6.166666666666667
self_duality,mid,NeCo,6.666666666666667
