nc_metric,ood_set,clip_fid,low,mid,high
equiangular_uc,tinyimagenet,0.25916467614357813,"PCA RecError global, Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML"
equiangular_uc,isun,0.40957509267432773,"KPCA RecError global, Residual, ViM, pNML","CTM, GradNorm, KPCA RecError global, MSR, NNGuide, PCE, PE, REN, ViM, fDBD","CTMmeanOC, GEN, GradNorm, KPCA RecError global, MSR, REN, Residual"
equiangular_uc,lsun resize,0.44339047660145725,"CTMmeanOC, KPCA RecError global, ViM","CTM, CTMmeanOC, GE, GEN, GradNorm, KPCA RecError global, MLS, MSR, Maha, NNGuide, PCE, PE, REN, ViM, fDBD","CTMmeanOC, GEN, GradNorm, KPCA RecError global, MSR, PCE, PE, REN, Residual"
equiangular_uc,lsun cropped,0.452894850417105,"Energy, KPCA RecError global, MLS, NNGuide","GradNorm, KPCA RecError global, PE","GradNorm, KPCA RecError global"
equiangular_uc,places365,0.5321273594354652,"Residual, ViM, pNML","Maha, Residual, ViM, pNML","Maha, Residual, pNML"
equiangular_uc,textures,0.5468303877588535,"Residual, ViM, pNML","Maha, Residual, ViM, pNML","PCA RecError global, Residual, ViM, pNML"
equiangular_uc,svhn,0.6846676149471842,"CTMmean, CTMmeanOC, KPCA RecError global","GE, GradNorm, KPCA RecError global, PE","CTMmeanOC, GradNorm, KPCA RecError global"
equiangular_wc,cifar100,0.19080717366812822,"GE, PE",,"PCA RecError global, ViM, pNML"
equiangular_wc,cifar10,0.2171741844853313,"Energy, GE, MLS, NNGuide, NeCo, PE","Energy, GE, MLS, NNGuide, NeCo, PE, fDBD","CTM, Energy, GE, MLS, NeCo, ViM"
equiangular_wc,tinyimagenet,0.25916467614357813,"CTMmeanOC, KPCA RecError global, Maha, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML"
equiangular_wc,isun,0.40957509267432773,"GE, GEN, GradNorm, KPCA RecError global, MSR, PCE, PE, REN","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM","KPCA RecError global, Residual, ViM"
equiangular_wc,lsun resize,0.44339047660145725,"GEN, GradNorm, MSR, PCE, PE, REN","KPCA RecError global, Maha, Residual, ViM","CTMmeanOC, KPCA RecError global, ViM"
equiangular_wc,lsun cropped,0.452894850417105,"GradNorm, KPCA RecError global","GradNorm, KPCA RecError global, PE","Energy, KPCA RecError global, NNGuide"
equiangular_wc,places365,0.5321273594354652,"Maha, Residual, pNML","Maha, PCA RecError global, Residual, ViM, pNML","Residual, ViM, pNML"
equiangular_wc,textures,0.5468303877588535,"Maha, Residual, ViM, pNML","Maha, Residual, ViM, pNML","Residual, ViM, pNML"
equiangular_wc,svhn,0.6846676149471842,"GE, GradNorm, KPCA RecError global","CTMmean, CTMmeanOC, GradNorm, KPCA RecError global","CTMmean, CTMmeanOC, KPCA RecError global"
equinorm_uc,cifar100,0.19080717366812822,"PCA RecError global, ViM, pNML",,"GE, PE"
equinorm_uc,cifar10,0.2171741844853313,"CTM, Energy, GE, NeCo, ViM, fDBD","Energy, GE, MLS, NNGuide, NeCo, PE, fDBD","Energy, GE, MLS, NNGuide, NeCo, PE"
equinorm_uc,tinyimagenet,0.25916467614357813,"Maha, Residual, ViM, pNML","Maha, PCA RecError global, Residual, ViM, pNML","CTMmeanOC, KPCA RecError global, Maha, Residual, ViM, pNML"
