encoder,source,n_per_class,seed,family,variant,ood,trial_key,augrc_base,augrc_var,delta_augrc
clip_vitl14,cifar10,100,0,Maha,global,places365,maha,129.9897,128.323,1.6667
clip_vitl14,cifar10,100,0,GradNorm,class pred,places365,gradnorm_cp,263.8302,131.9651,131.8651
clip_vitl14,cifar10,100,0,Maha,class pred,places365,maha_cp,129.9897,129.2948,0.6949
clip_vitl14,cifar10,100,0,PCA RecError,class pred,places365,recerr_cp,130.2375,128.675,1.5625
clip_vitl14,cifar10,100,0,PCA RecError,class,places365,recerr_class,130.2375,128.9981,1.2394
clip_vitl14,cifar10,100,0,MLS,global,lsun cropped,mls,127.7722,127.8253,-0.0531
clip_vitl14,cifar10,100,0,Energy,global,lsun cropped,energy,127.7731,127.8265,-0.0534
clip_vitl14,cifar10,100,0,MSR,global,lsun cropped,msr,132.0702,131.8727,0.1975
clip_vitl14,cifar10,100,0,GradNorm,global,lsun cropped,gradnorm,139.2738,133.1201,6.1538
clip_vitl14,cifar10,100,0,Maha,global,lsun cropped,maha,156.5802,138.7878,17.7923
clip_vitl14,cifar10,100,0,GradNorm,class pred,lsun cropped,gradnorm_cp,139.2738,139.1406,0.1333
clip_vitl14,cifar10,100,0,Maha,class pred,lsun cropped,maha_cp,156.5802,169.592,-13.0119
clip_vitl14,cifar10,100,0,PCA RecError,class pred,lsun cropped,recerr_cp,172.9568,150.8742,22.0826
clip_vitl14,cifar10,100,0,PCA RecError,class,lsun cropped,recerr_class,172.9568,154.799,18.1578
clip_vitl14,cifar10,100,0,MLS,global,textures,mls,67.2919,67.578,-0.2861
clip_vitl14,cifar10,100,0,Energy,global,textures,energy,67.2943,67.5813,-0.287
clip_vitl14,cifar10,100,0,MSR,global,textures,msr,72.3836,72.3808,0.0028
clip_vitl14,cifar10,100,0,GradNorm,global,textures,gradnorm,154.7457,67.915,86.8307
clip_vitl14,cifar10,100,0,Maha,global,textures,maha,70.6324,67.8195,2.8129
