dataset,method,calibration,model,drop_out,reward,run,ece_l1,ece_l2,mce,ece_l1_bound,ece_l2_bound
ood_nsncs_ti,Confidence,Beta,modelvit,do1,rew0,2,0.45711497193341516,0.2089540975656869,0.4571149719334151,0.5393655814971448,0.6757499851074468
ood_nsncs_lsun_cropped,Confidence,Beta,modelvit,do1,rew0,2,0.45711497193341516,0.2089540975656869,0.4571149719334151,0.5393655814971448,0.6757499851074468
ood_nsncs_lsun_resize,Confidence,Beta,modelvit,do1,rew0,2,0.45711497193341516,0.2089540975656869,0.4571149719334151,0.5393655814971448,0.6757499851074468
ood_nsncs_isun,Confidence,Beta,modelvit,do1,rew0,2,0.4288218166492467,0.18388815043436013,0.4288218166492467,0.5162223711882813,0.6584032442689292
ood_nsncs_textures,Confidence,Beta,modelvit,do1,rew0,2,0.31521255133201,0.09935895251723503,0.31521255133201,0.4232923641295242,0.5835793219478344
ood_nsncs_places365,Confidence,Beta,modelvit,do1,rew0,2,0.45711497193341516,0.2089540975656869,0.4571149719334151,0.5393655814971448,0.6757499851074468
val,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.0255342456593194,0.0027480692949212147,0.7137309775666978,0.13384298366900538,0.26094473692357
iid_test,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.01854139836349914,0.003643684492402953,0.9808524896854128,0.13843285204939343,0.26482847702391543
ood_sncs_c10,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.3361496404487245,0.15635036168029218,0.9808525015800188,0.41000364176779674,0.5256851343664464
ood_nsncs_svhn,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.24639560410629585,0.07812549338703814,0.9808525015800188,0.2861145130120521,0.3477768357131667
ood_nsncs_ti,KPCA_RecError_global,Sigmoid,modelvit,do1,rew0,2,0.2838142555209519,0.10654256666337214,0.8094449086919224,0.357852514953019,0.4677051019969349
